Lead ID,Business Name,City,State,Public Address,Public Phone,Google Rating,Review Count,Category,Lead Priority,Verification Status,Website,Public Email,Google Maps URL
1,"Moody Heating & Air Conditioning",Wichita,KS,"1020 W Maple St, Wichita, KS 67213",+13164441019,4.9,673,"HVAC contractor",A,"Verified from current public business-search data",,,
2,"Beach Coast Hvac LLC",Long Beach,CA,"700 E Coolidge St, Long Beach, CA 90805",+15622459858,5.0,26,"HVAC contractor",A,"Verified from current public business-search data",,,
3,"Fenix Heating & Cooling",Wichita,KS,"802 W 2nd St N, Wichita, KS 67203",+13169454842,4.9,656,"HVAC contractor",A,"Verified from current public business-search data",,,
4,"Manny's Heating & Air Conditioning",Huntington Park,CA,"2761 E Slauson Ave, Huntington Park, CA 90255",+13237744032,4.8,331,"HVAC contractor",A,"Verified from current public business-search data",,,
5,"Specialized Service Heat & Air",Wichita,KS,"350 N Indiana Ave, Wichita, KS 67214",+13166898969,5.0,426,"HVAC contractor",A,"Verified from current public business-search data",,,
6,"HNZ Heating and Air Conditioning",Lynwood,CA,"3883 Martin Luther King Jr Blvd, Lynwood, CA 90262",+14243670807,4.9,99,"HVAC contractor",A,"Verified from current public business-search data",,,
7,"Dan's Heating and Cooling",Wichita,KS,"242 N New York Ave, Wichita, KS 67214",+13162648951,4.9,1107,"HVAC contractor",A,"Verified from current public business-search data",,,
8,"Bright Flow Heating Experts",Los Angeles,CA,"10211 Vermont Ave, Los Angeles, CA 90044",+14242457570,4.7,10,"HVAC contractor",B,"Verified from current public business-search data",,,
9,"Midwest Mechanical",Wichita,KS,"2111 W Harry St, Wichita, KS 67213",+13162470735,4.9,528,"HVAC contractor",A,"Verified from current public business-search data",,,
10,"Reliable Home Comfort",Compton,CA,"1214 W 130th St, Compton, CA 90222",+15625685345,5.0,273,"HVAC contractor",A,"Verified from current public business-search data",,,
11,"Titan Mechanical",Wichita,KS,"724 E Osie St, Wichita, KS 67211",+13166411975,5.0,133,"HVAC contractor",A,"Verified from current public business-search data",,,
12,"Southwest Heating & Air Conditioning",Los Angeles,CA,"622 Alpine St, Los Angeles, CA 90012",+13108670703,4.9,363,"HVAC contractor",A,"Verified from current public business-search data",,,
13,"Kelley & Dawson Service",Wichita,KS,"1741 N Broadway St, Wichita, KS 67214",+13162637201,5.0,555,"HVAC contractor",A,"Verified from current public business-search data",,,
14,"South Gate Air Conditioning Services",South Gate,CA,"5720 E Imperial Hwy, South Gate, CA 90280",+15624421892,4.8,98,"HVAC contractor",A,"Verified from current public business-search data",,,
15,"Wichita Heating & Air Conditioning",Wichita,KS,"311 N Seneca St, Wichita, KS 67203",+13162487478,5.0,13,"Air conditioning contractor",B,"Verified from current public business-search data",,,
16,"Torrance HVAC Services – AC Installation HVAC Replacement By Dusty Ducts",Torrance,CA,"2702 W 178th St, Torrance, CA 90504",+14243770485,5.0,118,"HVAC contractor",A,"Verified from current public business-search data",,,
17,"Aire Serv of North Wichita",Wichita,KS,"1502 E Harry St, Wichita, KS 67211",+18556790011,4.8,209,"HVAC contractor",A,"Verified from current public business-search data",,,
18,"Ductless Heating And Cooling",Lynwood,CA,"2661 E 109th St, Lynwood, CA 90262",+15624138773,5.0,32,"HVAC contractor",B,"Verified from current public business-search data",,,
19,"1st Choice Heating And Cooling",Wichita,KS,"320 S Lulu St, Wichita, KS 67211",+13169928606,4.3,22,"HVAC contractor",C,"Verified from current public business-search data",,,
20,"Fix Heating and Cooling (FHC)",Compton,CA,"4216 Linsley St, Compton, CA 90221",+13102790585,5.0,33,"HVAC contractor",B,"Verified from current public business-search data",,,
